Rk,Name,Tm,Age,Pos,G,GS,*Tgt,*Rec,Ctch%,*Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
24,Mike Evans,TAM,24,WR,10,10,96,51,53.10%,702,13.8,4,41,5.1,70.2,1
25,Devin Funchess,CAR,23,WR,11,11,83,50,60.20%,643,12.9,5,35,4.5,58.5,0
26,Duke Johnson,CLE,24,,11,0,65,50,76.90%,446,8.9,2,41,4.5,40.5,1
27,Jason Witten,DAL,35,TE,11,11,63,50,79.40%,429,8.6,3,28,4.5,39,1
28,Jimmy Graham,SEA,31,TE,11,10,80,49,61.30%,447,9.1,8,33,4.5,40.6,0
29,Carlos Hyde,SFO,27,RB,11,11,73,49,67.10%,295,6,0,18,4.5,26.8,1
30,James White,NWE,25,rb,11,2,59,47,79.70%,378,8,2,27,4.3,34.4,0
31,Robert Woods,LAR,25,WR,10,9,70,47,67.10%,703,15,4,94,4.7,70.3,1
32,Jamison Crowder,WAS,24,wr,10,4,72,46,63.90%,561,12.2,1,41,4.6,56.1,5
33,Rob Gronkowski,NWE,28,TE,10,10,74,46,62.20%,702,15.3,7,53,4.6,70.2,1
34,Cooper Kupp,LAR,24,wr,11,2,72,46,63.90%,597,13,3,53,4.2,54.3,1
35,LeSean McCoy,BUF,29,RB,11,11,57,46,80.70%,295,6.4,1,24,4.2,26.8,3
36,Kyle Rudolph,MIN,28,TE,11,11,65,46,70.80%,429,9.3,5,34,4.2,39,0
37,Mohamed Sanu,ATL,28,WR,10,10,61,45,73.80%,452,10,4,25,4.5,45.2,0
38,Danny Amendola,NWE,32,wr,10,3,59,44,74.60%,455,10.3,2,27,4.4,45.5,2
39,Evan Engram,NYG,23,TE,11,9,85,44,51.80%,470,10.7,5,31,4,42.7,0
40,Marvin Jones,DET,27,WR,11,11,80,44,55.00%,731,16.6,8,43,4,66.5,0
41,Marqise Lee,JAX,26,WR,11,11,80,44,55.00%,551,12.5,2,45,4,50.1,1
42,Randall Cobb,GNB,27,WR,10,10,57,43,75.40%,463,10.8,2,46,4.3,46.3,1
43,DeSean Jackson,TAM,31,WR,11,10,79,43,54.40%,592,13.8,3,41,3.9,53.8,0
44,Alshon Jeffery,PHI,27,WR,11,11,89,43,48.30%,619,14.4,7,53,3.9,56.3,0
45,Kenny Stills,MIA,25,WR,11,11,69,43,62.30%,635,14.8,5,61,3.9,57.7,2
46,Jared Cook,OAK,30,TE,11,11,65,42,64.60%,536,12.8,1,35,3.8,48.7,1
47,Amari Cooper,OAK,23,WR,11,11,85,42,49.40%,499,11.9,5,45,3.8,45.4,1
48,Michael Crabtree,OAK,30,WR,10,10,66,42,63.60%,502,12,6,41,4.2,50.2,0
49,Ted Ginn,NOR,32,WR,11,7,54,42,77.80%,641,15.3,3,53,3.8,58.3,2
50,Todd Gurley,LAR,23,RB,11,11,59,42,71.20%,479,11.4,3,53,3.8,43.5,5
51,Jermaine Kearse,NYJ,27,WR,11,10,66,42,63.60%,520,12.4,5,44,3.8,47.3,1
52,Ben Watson,BAL,37,TE,11,10,53,42,79.20%,323,7.7,2,33,3.8,29.4,1
53,Javorius Allen,BAL,26,,11,0,52,41,78.80%,200,4.9,2,14,3.7,18.2,0
54,Robby Anderson,NYJ,24,WR,11,10,74,41,55.40%,714,17.4,7,69,3.7,64.9,0
55,Rishard Matthews,TEN,28,WR,10,9,68,41,60.30%,626,15.3,3,75,4.1,62.6,0
56,Austin Seferian-Jenkins,NYJ,25,TE,9,9,57,41,71.90%,315,7.7,3,28,4.6,35,1
57,Stefon Diggs,MIN,24,WR,9,9,60,40,66.70%,598,15,5,59,4.4,66.4,0
58,Pierre Garcon,SFO,31,WR,8,8,67,40,59.70%,500,12.5,0,59,5,62.5,0
59,Adam Humphries,TAM,24,wr,11,2,57,39,68.40%,377,9.7,0,38,3.5,34.3,1
60,Chris Thompson,WAS,27,rb,10,1,54,39,72.20%,510,13.1,4,74,3.9,51,3
61,Terrance Williams,DAL,28,WR,11,11,56,39,69.60%,455,11.7,0,56,3.5,41.4,0
62,Melvin Gordon,LAC,24,RB,11,11,58,38,65.50%,273,7.2,4,22,3.5,24.8,0
63,T.Y. Hilton,IND,28,WR,11,11,74,38,51.40%,740,19.5,3,80,3.5,67.3,1
64,Jordy Nelson,GNB,32,WR,11,11,64,38,59.40%,393,10.3,6,58,3.5,35.7,0
65,Sterling Shepard,NYG,23,WR,7,6,51,38,74.50%,475,12.5,1,77,5.4,67.9,1
66,Brandon LaFell,CIN,31,WR,11,10,60,37,61.70%,373,10.1,2,37,3.4,33.9,1
67,Emmanuel Sanders,DEN,30,WR,9,8,72,37,51.40%,460,12.4,2,38,4.1,51.1,0
68,Kelvin Benjamin,2TM,26,,10,10,58,36,62.10%,537,14.9,2,43,3.6,53.7,0
69,Austin Hooper,ATL,23,TE,11,8,48,36,75.00%,417,11.6,3,88,3.3,37.9,0
70,Kareem Hunt,KAN,22,RB,11,11,42,36,85.70%,344,9.6,2,78,3.3,31.3,1
71,Allen Hurns,JAX,26,WR,9,8,51,36,70.60%,446,12.4,2,50,4,49.6,0
72,Mark Ingram,NOR,28,RB,11,9,46,36,78.30%,218,6.1,0,25,3.3,19.8,3
73,Jerick McKinnon,MIN,25,,11,0,49,36,73.50%,261,7.3,1,31,3.3,23.7,3
74,Cameron Brate,TAM,26,te,11,5,56,35,62.50%,442,12.6,4,35,3.2,40.2,1
75,Tarik Cohen,CHI,22,rb,11,2,49,35,71.40%,272,7.8,1,70,3.2,24.7,3
76,DeVante Parker,MIA,24,WR,8,7,57,35,61.40%,409,11.7,1,31,4.4,51.1,0
77,Paul Richardson,SEA,25,WR,11,9,56,35,62.50%,584,16.7,5,48,3.2,53.1,0
78,Eric Decker,TEN,30,wr,11,5,51,34,66.70%,326,9.6,1,27,3.1,29.6,0
79,Theo Riddick,DET,26,,11,0,46,34,73.90%,292,8.6,2,63,3.1,26.5,0
80,Julius Thomas,MIA,29,TE,11,10,51,34,66.70%,342,10.1,2,27,3.1,31.1,0
81,Nelson Agholor,PHI,24,WR,11,6,53,33,62.30%,458,13.9,6,72,3,41.6,0
82,Vernon Davis,WAS,33,TE/wr,11,11,49,33,67.30%,527,16,1,69,3,47.9,1
83,Andre Ellington,ARI,28,,8,0,50,33,66.00%,297,9,0,24,4.1,37.1,0
84,Chris Hogan,NWE,29,WR,8,7,54,33,61.10%,438,13.3,5,47,4.1,54.8,0
85,Tyler Lockett,SEA,25,WR,11,6,55,33,60.00%,408,12.4,0,54,3,37.1,0
86,JuJu Smith-Schuster,PIT,21,wr,10,4,51,33,64.70%,568,17.2,5,97,3.3,56.8,0
87,Shane Vereen,NYG,28,,11,0,39,33,84.60%,201,6.1,0,20,3,18.3,0
88,Jeremy Maclin,BAL,29,WR,9,9,52,32,61.50%,350,10.9,3,48,3.6,38.9,0
89,Ryan Grant,WAS,27,wr,11,3,41,31,75.60%,341,11,3,40,2.8,31,0
90,Hunter Henry,LAC,23,tb/TE,11,10,44,31,70.50%,420,13.5,3,34,2.8,38.2,0
91,Tyler Kroft,CIN,25,TE,11,11,42,31,73.80%,317,10.2,5,59,2.8,28.8,0
92,DeMarco Murray,TEN,29,RB,11,11,37,31,83.80%,225,7.3,1,18,2.8,20.5,1
93,Kendall Wright,CHI,28,wr,11,2,51,31,60.80%,345,11.1,1,22,2.8,31.4,0
94,Martellus Bennett,2TM,30,,9,7,44,30,68.20%,286,9.5,0,33,3.3,31.8,0
95,Charles Clay,BUF,28,TE,8,8,39,29,74.40%,358,12.3,2,44,3.6,44.8,1
96,Matt Forte,NYJ,32,rb,8,3,33,29,87.90%,222,7.7,0,34,3.6,27.8,0
97,Mike Wallace,BAL,31,WR,10,9,50,29,58.00%,371,12.8,3,54,2.9,37.1,0
98,Cole Beasley,DAL,28,wr,11,4,47,28,59.60%,214,7.6,4,24,2.5,19.5,0
99,Eric Ebron,DET,24,TE,11,9,50,28,56.00%,317,11.3,2,44,2.5,28.8,0
100,Bruce Ellington,HOU,26,wr,10,5,55,28,50.90%,323,11.5,2,35,2.8,32.3,1
101,Taylor Gabriel,ATL,26,wr,11,4,41,28,68.30%,326,11.6,1,40,2.5,29.6,0
102,Jesse James,PIT,23,TE,11,9,42,28,66.70%,246,8.8,3,32,2.5,22.4,0
103,George Kittle,SFO,24,TE,10,7,44,28,63.60%,291,10.4,1,31,2.8,29.1,0
