Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev
WR,Jarius Wright,3000,MIN@ATL 12/03/2017 01:00PM ET,3.436,MIN
RB,Tion Green,3000,DET@BAL 12/03/2017 01:00PM ET,0,DET
TE,Eric Ebron,3000,DET@BAL 12/03/2017 01:00PM ET,6.518,DET
DST,Lions ,3000,DET@BAL 12/03/2017 01:00PM ET,10.636,DET
WR,Michael Campanaro,3000,DET@BAL 12/03/2017 01:00PM ET,3.8,BAL
WR,Breshad Perriman,3000,DET@BAL 12/03/2017 01:00PM ET,1.378,BAL
WR,Chris Moore,3000,DET@BAL 12/03/2017 01:00PM ET,4.225,BAL
RB,Travaris Cadet,3000,NE@BUF 12/03/2017 01:00PM ET,5.08,BUF
RB,Patrick DiMarco,3000,NE@BUF 12/03/2017 01:00PM ET,0.582,BUF
WR,Brandon Tate,3000,NE@BUF 12/03/2017 01:00PM ET,1.95,BUF
WR,Walter Powell,3000,NE@BUF 12/03/2017 01:00PM ET,0,BUF
WR,Andre Holmes,3000,NE@BUF 12/03/2017 01:00PM ET,3.909,BUF
RB,Brandon Bolden,3000,NE@BUF 12/03/2017 01:00PM ET,0.009,NE
RB,James Develin,3000,NE@BUF 12/03/2017 01:00PM ET,0.782,NE
WR,Matthew Slater,3000,NE@BUF 12/03/2017 01:00PM ET,0,NE
RB,Taquan Mizzell,3000,SF@CHI 12/03/2017 01:00PM ET,0,CHI
RB,Benny Cunningham,3000,SF@CHI 12/03/2017 01:00PM ET,3.489,CHI
RB,Michael Burton,3000,SF@CHI 12/03/2017 01:00PM ET,0.227,CHI
WR,Josh Bellamy,3000,SF@CHI 12/03/2017 01:00PM ET,3.51,CHI
WR,Markus Wheaton,3000,SF@CHI 12/03/2017 01:00PM ET,0.317,CHI
WR,Kendall Wright,3000,SF@CHI 12/03/2017 01:00PM ET,6.5,CHI
WR,Tre McBride,3000,SF@CHI 12/03/2017 01:00PM ET,2.8,CHI
